total_reward,total_profit,position,num_epochs,learning_rate,num_time_steps,time
576.90087890625,0.03177313828809392,0,10,0.0001,100000,864.7276029586792
720.55224609375,0.05841240932336117,1,10,0.0002,100000,824.5323078632355
2116.64697265625,0.04892116161712651,0,10,0.0003,100000,845.4459919929504
459.0126953125,0.019388950378652535,1,10,0.0004,100000,904.0530171394348
1835.329833984375,0.045439901958943686,1,10,0.0005,100000,935.4138660430908
1284.931884765625,0.040974215096097694,1,10,0.0006,100000,794.3646426200867
-390.4228515625,0.04347514923496352,0,10,0.0007,100000,752.0365467071533
1649.48388671875,0.2560716672147925,1,10,0.0008,100000,713.4628391265869
-24.376708984375,0.029464741210624635,1,10,0.0009,100000,793.7236738204956
1120.109130859375,0.05729044499421817,1,10,0.001,100000,775.796324968338
