total_reward,total_profit,position,num_epochs,learning_rate,num_time_steps,time
-527.55908203125,0.019634675633038053,1,10,0.0001,100000,728.4927561283112
1022.071533203125,0.03255994589411729,1,10,0.0002,100000,730.85884308815
1665.902099609375,0.07949932996442136,1,10,0.0003,100000,712.622878074646
-187.910400390625,0.03174112262727079,1,10,0.0004,100000,744.3679690361023
933.599853515625,0.029801595248019695,1,10,0.0005,100000,710.986095905304
834.69091796875,0.5826394898978087,0,10,0.0006,100000,701.3898549079895
1441.073486328125,0.17078633081978317,1,10,0.0007,100000,698.1050717830658
1028.343017578125,0.04858329504093254,1,10,0.0008,100000,710.037190914154
1419.940673828125,0.09038094839512652,0,10,0.0009,100000,763.0776798725128
866.32177734375,0.169402435003018,1,10,0.001,100000,732.9703040122986
