total_reward,total_profit,position,num_epochs,learning_rate,num_time_steps,time
1660.052978515625,0.04605996789970603,1,10,0.0001,1000000,358.9580271244049
718.142578125,0.24519132629622534,1,10,0.0002,1000000,362.396936416626
828.849853515625,0.7310280538384318,1,10,0.0003,1000000,356.7053339481354
-227.998779296875,0.09036921141908355,1,10,0.0004,1000000,363.23414301872253
1446.47119140625,0.17014716584018375,1,10,0.0005,1000000,356.81456303596497
1331.223876953125,0.16858014450141962,1,10,0.0006,1000000,350.3006043434143
872.868896484375,0.20950063548389003,1,10,0.0007,1000000,351.82629799842834
1012.10888671875,0.3942120724218621,1,10,0.0008,1000000,348.8298659324646
1182.0302734375,1.341052961527534,1,10,0.0009,1000000,350.71602988243103
0.0,1.0,0,10,0.001,1000000,358.29692697525024
0.0,1.4270726642250493,1,10,0.0011,1000000,351.0323541164398
0.0,1.4270726642250493,1,10,0.0012,1000000,350.7296669483185
0.0,1.0,0,10,0.0013,1000000,346.83725595474243
0.0,1.4270726642250493,1,10,0.0014,1000000,348.07265305519104
