total_reward,total_profit,position,num_epochs,learning_rate,num_time_steps,time
24.380126953125,0.9922668681577075,0,10,0.001,100000,762.7682077884674
750.78955078125,0.038964903383007614,0,20,0.001,100000,1353.5031979084015
240.56982421875,0.03927774171411456,1,30,0.001,100000,2145.9655191898346
1478.1611328125,0.8710958312541912,1,40,0.001,100000,2839.5638558864594
338.78125,0.16237476717764754,0,50,0.001,100000,3523.1181399822235
54.068603515625,0.050250708331976264,1,60,0.001,100000,4149.5049369335175
-490.632080078125,0.023481550724794728,0,70,0.001,100000,4767.16504907608
0.0,1.4270726642250493,1,80,0.001,100000,5491.406345844269
987.770751953125,0.4617501548557813,1,90,0.001,100000,6274.546558856964
678.4013671875,0.07637619127329265,1,100,0.001,100000,6708.521140098572
